Age_group,Korea,Japan
0y-10y,4.57,24323
10y-19y,7.37,54629
20y-29y,15.87,163166
30y-39y,14.23,109612
40y-49y,15.59,107000
50y-59y,18.22,96402
60y-69y,14.24,62318
70y-79y,6.31,55093
80y+,3.59,54479
Unknown,0.01,lấy 100 trừ đống trên
