Date,new_cases
1-06-01,132788
1-06-02,134154
1-06-03,132364
1-06-04,120529
1-06-05,114460
1-06-06,100636
1-06-07,86498
1-06-08,92596
1-06-09,93463
1-06-10,92291
1-06-11,84332
1-06-12,80834
1-06-13,70421
1-06-14,60471
