Date,new_cases
1-06-01,78926
1-06-02,95601
1-06-03,83391
1-06-04,37936
1-06-05,66017
1-06-06,39637
1-06-07,37156
1-06-08,52911
1-06-09,85748
1-06-10,88092
1-06-11,85149
1-06-12,78700
1-06-13,37948
1-06-14,39846
