Date,new_cases
1-06-01,22940
1-06-02,16917
1-06-03,19080
1-06-04,16850
1-06-05,13906
1-06-06,5395
1-06-07,15496
1-06-08,13013
1-06-09,18647
1-06-10,14545
1-06-11,24699
1-06-12,8228
1-06-13,4777
1-06-14,12730
