Date,Infected
1-05-16,32358597
1-05-17,32386819
1-05-18,32413839
1-05-19,32442461
1-05-20,32471990
1-05-21,32499327
1-05-22,32518635
1-05-23,32531307
1-05-24,32556681
1-05-25,32578791
1-05-26,32601788
1-05-27,32627890
1-05-28,32649190
1-05-29,32660861
1-05-30,32667463
1-05-31,32673092
