CASE_LBL,Brazil,India,Japan,Korea__South,US,Vietnam,Global
5/13/2020,13240,2551,726,260,87549,0,1183999
5/14/2020,13999,2649,742,260,89331,0,1189933
5/15/2020,14962,2753,760,262,90997,0,1197015
5/16/2020,15662,2871,778,262,92198,0,1202899
5/17/2020,16118,3025,787,263,93023,0,1207098
5/18/2020,16853,3156,796,263,94246,0,1212708
5/19/2020,17983,3302,805,263,95706,0,1220156
5/20/2020,18859,3434,818,264,97205,0,1227367
5/21/2020,20047,3584,826,264,98390,0,1234514
5/22/2020,21048,3726,836,266,99612,0,1242170
5/23/2020,22013,3868,845,266,100698,0,1248838
5/24/2020,22666,4024,852,267,101338,0,1253880
5/25/2020,23473,4172,857,269,101935,0,1260099
5/26/2020,24512,4344,863,269,102613,0,1269547
5/27/2020,25598,4534,870,269,104072,0,1279702
5/28/2020,26754,4711,881,269,105164,0,1287787
5/29/2020,27878,4980,887,269,106294,0,1297535
5/30/2020,28834,5185,894,270,107248,0,1305190
5/31/2020,29314,5408,898,271,107865,0,1311119
6/1/2020,29937,5608,899,272,108643,0,1318389
6/2/2020,31199,5829,902,273,109623,0,1328429
6/3/2020,32548,6088,905,273,110631,0,1338933
6/4/2020,34021,6363,911,273,111637,0,1348756
6/5/2020,35026,6649,916,273,112526,0,1358404
6/6/2020,35930,6946,915,273,113168,0,1367568
6/7/2020,36455,7207,917,273,113628,0,1374026
6/8/2020,37134,7473,920,274,114137,0,1381999
6/9/2020,38406,7750,920,276,115044,0,1393121
6/10/2020,39680,8102,922,276,115923,0,1404592
6/11/2020,40919,8498,922,277,116751,0,1415721
6/12/2020,41828,8884,924,277,117580,0,1427559
6/13/2020,42720,9195,927,277,118320,0,1436534
6/14/2020,43332,9520,927,277,118665,0,1443837
6/15/2020,43959,9900,929,278,119061,0,1452402
6/16/2020,45241,11903,934,279,119874,0,1465120
6/17/2020,46510,12237,935,280,120613,0,1477306
6/18/2020,47748,12573,935,280,121301,0,1488288
6/19/2020,48954,12948,951,280,121928,0,1499678
6/20/2020,49976,13254,955,280,122486,0,1508957
6/21/2020,50591,13699,955,280,122806,0,1516168
6/22/2020,51271,14011,955,281,123213,0,1525135
6/23/2020,52645,14476,965,281,123961,0,1537895
6/24/2020,53830,14894,967,282,124698,0,1550586
6/25/2020,54971,15301,971,282,125236,0,1563149
6/26/2020,55961,15685,971,282,125864,0,1575752
6/27/2020,57070,16095,971,282,126370,0,1586029
6/28/2020,57622,16475,972,282,126686,0,1593520
6/29/2020,58314,16893,972,282,127072,0,1602299
6/30/2020,59594,17400,972,282,127627,0,1614691
7/1/2020,60632,17834,976,282,128328,0,1627367
7/2/2020,61884,18213,977,282,129038,0,1640066
7/3/2020,63174,18655,977,283,129708,0,1653188
7/4/2020,64265,19268,977,283,130023,0,1663817
7/5/2020,64867,19693,977,284,130349,0,1671403
7/6/2020,65487,20159,978,285,130726,0,1680548
7/7/2020,66741,20642,981,285,131887,0,1694540
7/8/2020,67964,21129,982,287,132709,0,1708306
7/9/2020,69184,21604,982,288,133729,0,1721761
7/10/2020,70398,22123,982,288,134545,0,1734687
7/11/2020,71469,22673,982,289,135274,0,1745573
7/12/2020,72100,23174,983,289,135746,0,1753452
7/13/2020,72833,23727,984,289,136194,0,1763157
7/14/2020,74133,24309,984,289,137122,0,1777527
7/15/2020,75366,24914,984,291,138096,0,1791422
7/16/2020,76688,25602,985,293,139051,0,1803171
7/17/2020,77851,26273,985,294,139976,0,1811798
7/18/2020,78772,26816,986,295,140835,0,1819276
7/19/2020,79488,27497,986,296,141320,0,1826825
7/20/2020,80120,28082,988,296,141883,0,1836615
7/21/2020,81487,28732,988,297,142968,0,1851874
7/22/2020,82771,29861,990,297,144191,0,1867231
7/23/2020,84082,30601,992,298,145261,0,1880449
7/24/2020,85238,31358,994,298,146367,0,1890278
7/25/2020,86449,32060,996,298,147299,0,1898864
7/26/2020,87004,32771,998,299,147830,0,1906316
7/27/2020,87618,33408,998,300,148957,0,1916580
7/28/2020,88539,34193,1001,300,150289,0,1932120
7/29/2020,90134,34955,1001,300,151700,0,1947237
7/30/2020,91263,35718,1007,301,152935,0,1962359
7/31/2020,92475,36511,1008,301,154172,3,1977613
8/1/2020,93563,37364,1012,301,155259,3,1990630
8/2/2020,94104,38135,1013,301,155696,6,1999201
8/3/2020,94665,38938,1018,301,156279,7,2009553
8/4/2020,95819,39795,1023,302,157561,8,2026852
8/5/2020,97256,40699,1028,302,159000,9,2043721
8/6/2020,98493,41585,1034,303,160239,10,2059407
