ds,y
2021-05-10,1305699
2021-05-11,1264702
2021-05-12,1308944
2021-05-13,1340882
2021-05-14,1383617
2021-05-15,1440997
2021-05-16,1426972
2021-05-17,1364123
2021-05-18,1335972
2021-05-19,1326598
2021-05-20,1369911
2021-05-21,1420840
2021-05-22,1466788
2021-05-23,1501747
2021-05-24,1480254
2021-05-25,1510187
2021-05-26,1548092
2021-05-27,1429678
2021-05-28,1440184
2021-05-29,1514319
2021-05-30,1512682
2021-05-31,1496754
