CASE_LBL,Brazil,India,Japan,Korea__South,US,Vietnam
1/22/2020,0,0,2,1,1,0
1/23/2020,0,0,2,1,1,2
1/24/2020,0,0,2,2,2,2
1/25/2020,0,0,2,2,2,2
1/26/2020,0,0,4,3,5,2
1/27/2020,0,0,4,4,5,2
1/28/2020,0,0,7,4,5,2
1/29/2020,0,0,7,4,6,2
1/30/2020,0,1,11,4,6,2
1/31/2020,0,1,15,11,8,2
2/1/2020,0,1,20,12,8,6
2/2/2020,0,2,20,15,8,6
2/3/2020,0,3,20,15,11,8
2/4/2020,0,3,22,16,11,8
2/5/2020,0,3,23,19,11,8
2/6/2020,0,3,23,23,12,10
2/7/2020,0,3,23,24,12,10
2/8/2020,0,3,24,24,12,13
2/9/2020,0,3,24,25,12,13
2/10/2020,0,3,26,27,12,14
2/11/2020,0,3,27,28,13,15
2/12/2020,0,3,28,28,13,15
2/13/2020,0,3,33,28,14,16
2/14/2020,0,3,43,28,14,16
2/15/2020,0,3,54,28,14,16
2/16/2020,0,3,60,29,14,16
2/17/2020,0,3,67,30,14,16
2/18/2020,0,3,79,31,14,16
2/19/2020,0,3,85,31,14,16
2/20/2020,0,3,95,104,14,16
2/21/2020,0,3,112,204,16,16
2/22/2020,0,3,137,433,16,16
2/23/2020,0,3,149,602,16,16
2/24/2020,0,3,160,833,16,16
2/25/2020,0,3,173,977,16,16
2/26/2020,1,3,192,1261,16,16
2/27/2020,1,3,218,1766,17,16
2/28/2020,1,3,236,2337,17,16
2/29/2020,2,3,245,3150,25,16
3/1/2020,2,3,259,3736,32,16
3/2/2020,2,5,278,4335,55,16
3/3/2020,2,5,298,5186,74,16
3/4/2020,4,28,333,5621,107,16
3/5/2020,4,30,365,6088,184,16
3/6/2020,13,31,420,6593,237,16
3/7/2020,13,34,466,7041,403,18
3/8/2020,20,39,499,7314,519,30
3/9/2020,25,43,527,7478,594,30
3/10/2020,31,56,585,7513,782,31
3/11/2020,38,62,640,7755,1147,38
3/12/2020,52,73,696,7869,1586,39
3/13/2020,151,82,733,7979,2219,47
3/14/2020,151,102,795,8086,2978,53
3/15/2020,162,113,826,8162,3212,56
3/16/2020,200,119,843,8236,4679,61
3/17/2020,321,142,893,8320,6512,66
3/18/2020,372,156,928,8413,9169,75
3/19/2020,621,194,968,8565,13663,85
3/20/2020,793,244,1022,8652,20030,91
3/21/2020,1021,330,1059,8799,26025,94
3/22/2020,1546,396,1104,8961,34898,113
3/23/2020,1924,499,1144,8961,46136,123
3/24/2020,2247,536,1217,9037,56755,134
3/25/2020,2554,657,1314,9137,68837,141
3/26/2020,2985,727,1416,9241,86693,153
3/27/2020,3417,887,1530,9332,105383,163
3/28/2020,3904,987,1728,9478,125013,174
3/29/2020,4256,1024,1907,9583,143912,188
3/30/2020,4579,1251,2001,9661,165987,203
3/31/2020,5717,1397,2255,9786,192301,212
4/1/2020,6836,1998,2535,9887,224587,218
4/2/2020,8044,2543,2818,9976,256809,233
4/3/2020,9056,2567,3154,10062,289116,237
4/4/2020,10360,3082,3525,10156,321502,240
4/5/2020,11130,3588,3876,10237,351397,241
4/6/2020,12161,4778,4110,10284,382787,245
4/7/2020,14034,5311,4485,10331,413566,249
4/8/2020,16170,5916,5020,10384,444801,251
4/9/2020,18092,6725,5614,10423,480743,255
4/10/2020,19638,7598,6250,10450,515146,257
4/11/2020,20727,8446,6951,10480,544229,258
4/12/2020,22192,9205,7473,10512,571485,262
4/13/2020,23430,10453,7773,10537,598424,265
4/14/2020,25262,11487,8277,10564,627242,266
4/15/2020,28320,12322,8835,10591,652650,267
4/16/2020,30425,13430,9398,10613,682652,268
4/17/2020,33682,14352,9958,10635,715718,268
4/18/2020,36658,15722,10548,10653,743625,268
4/19/2020,38654,17615,10914,10661,769687,268
4/20/2020,40743,18539,11258,10674,799507,268
4/21/2020,43079,20080,11641,10683,825433,268
4/22/2020,45757,21370,12037,10694,854344,268
4/23/2020,50036,23077,12469,10708,887956,268
4/24/2020,54043,24530,12854,10718,920283,270
4/25/2020,59324,26283,13186,10728,950663,270
4/26/2020,63100,27890,13405,10738,977151,270
4/27/2020,67446,29451,13576,10752,1000866,270
4/28/2020,73235,31324,13860,10761,1025441,270
4/29/2020,79685,33062,14076,10765,1051900,270
4/30/2020,87187,34863,14284,10774,1081105,270
5/1/2020,92202,37257,14558,10780,1116012,270
5/2/2020,97100,39699,14861,10793,1143360,270
5/3/2020,101826,42505,15061,10801,1167681,271
5/4/2020,108620,46437,15229,10804,1191749,271
5/5/2020,115455,49400,15354,10806,1216277,271
5/6/2020,126611,52987,15455,10810,1240846,271
5/7/2020,135773,56351,15553,10822,1268275,288
5/8/2020,146894,59695,15640,10840,1295105,288
5/9/2020,156061,62808,15755,10874,1320281,288
5/10/2020,162699,67161,15824,10909,1339086,288
5/11/2020,169594,70768,15861,10936,1358384,288
5/12/2020,178214,74292,15948,10962,1381311,288
5/13/2020,190137,78055,15998,10991,1401744,288
5/14/2020,203165,81997,16096,11018,1428561,312
5/15/2020,220291,85784,16148,11037,1453294,314
5/16/2020,233511,90648,16202,11050,1477429,318
5/17/2020,241080,95698,16226,11065,1495817,320
5/18/2020,255368,100328,16259,11078,1518206,324
5/19/2020,271885,106475,16287,11110,1539185,324
5/20/2020,291579,112028,16321,11122,1561910,324
5/21/2020,310087,118226,16362,11142,1587679,324
5/22/2020,330890,124794,16385,11165,1611328,324
5/23/2020,347398,131423,16410,11190,1632427,325
5/24/2020,363211,138536,16451,11206,1652504,325
5/25/2020,374898,144950,16472,11225,1671166,326
5/26/2020,391222,150793,16502,11265,1690829,327
5/27/2020,411821,158086,16528,11344,1709380,327
5/28/2020,438238,165386,16598,11402,1731700,327
5/29/2020,465166,173491,16673,11441,1756178,328
5/30/2020,498440,181827,16716,11468,1779810,328
5/31/2020,514849,190609,16751,11503,1798793,328
6/1/2020,526447,198370,16787,11541,1816207,328
6/2/2020,555383,207191,16837,11590,1837709,328
6/3/2020,584016,216824,16867,11629,1857566,328
6/4/2020,614941,226713,16911,11668,1879224,328
6/5/2020,645771,236184,16958,11719,1904627,328
6/6/2020,672846,246622,17000,11776,1925769,329
6/7/2020,691758,257486,17039,11814,1943697,331
6/8/2020,707412,265928,17060,11852,1961313,332
6/9/2020,739503,276146,17111,11902,1979696,332
6/10/2020,772416,286605,17146,11947,2000807,332
6/11/2020,802828,297535,17187,12003,2023973,332
6/12/2020,828810,308993,17250,12051,2048801,333
6/13/2020,850514,320922,17293,12085,2074013,334
6/14/2020,867624,332424,17369,12121,2092954,334
6/15/2020,888271,343091,17439,12155,2112781,334
6/16/2020,923189,354065,17484,12198,2136448,334
6/17/2020,955377,366946,17530,12257,2163520,335
6/18/2020,978142,380532,17588,12306,2192057,342
6/19/2020,1032913,395048,17658,12373,2223601,349
6/20/2020,1067579,410451,17725,12421,2255881,349
6/21/2020,1083341,425282,17780,12438,2281031,349
6/22/2020,1106470,440215,17820,12484,2313175,349
6/23/2020,1145906,456183,17879,12535,2350247,349
6/24/2020,1188631,473105,17963,12563,2386125,352
6/25/2020,1228114,490401,18055,12602,2426451,352
6/26/2020,1274974,508953,18162,12653,2472450,353
6/27/2020,1313667,528859,18254,12715,2513780,355
6/28/2020,1344143,548318,18366,12757,2554514,355
6/29/2020,1368195,566840,18476,12800,2595813,355
6/30/2020,1402041,585481,18615,12850,2642233,355
7/1/2020,1448753,604641,18838,12904,2694053,355
7/2/2020,1496858,625544,19055,12967,2750689,355
