Date,new_cases,new_cases_smoothed
1-03-31,9,3.857
1-04-01,14,5.429
1-04-02,3,4.857
1-04-03,6,5.714
1-04-04,5,5.714
1-04-05,6,6.143
1-04-06,11,7.714
1-04-07,11,8
1-04-08,9,7.286
1-04-09,15,9
1-04-10,9,9.429
1-04-11,1,8.857
1-04-12,12,9.714
1-04-13,9,9.429
1-04-14,19,10.571
1-04-15,25,12.857
1-04-16,14,12.714
1-04-17,9,12.714
1-04-18,4,13.143
1-04-19,6,12.286
1-04-20,9,12.286
1-04-21,12,11.286
1-04-22,12,9.429
1-04-23,6,8.286
1-04-24,3,7.429
1-04-25,10,8.286
1-04-26,9,8.714
1-04-27,5,8.143
1-04-28,8,7.571
1-04-29,45,12.286
1-04-30,18,14
1-05-01,14,15.571
1-05-02,20,17
1-05-03,23,19
1-05-04,10,19.714
1-05-05,35,23.571
1-05-06,60,25.714
1-05-07,47,29.857
1-05-08,108,43.286
1-05-09,167,64.286
1-05-10,77,72
1-05-11,82,82.286
1-05-12,87,89.714
1-05-13,82,92.857
1-05-14,76,97
1-05-15,296,123.857
1-05-16,100,114.286
1-05-17,147,124.286
1-05-18,153,134.429
1-05-19,208,151.714
1-05-20,89,152.714
1-05-21,132,160.714
1-05-22,178,143.857
1-05-23,156,151.857
1-05-24,129,149.286
1-05-25,527,202.714
1-05-26,155,195.143
1-05-27,270,221
1-05-28,40,207.857
1-05-29,512,255.571
1-05-30,199,261.714
1-05-31,325,289.714
