Date,new_cases,new_cases_smoothed
1-03-26,505,438
1-03-27,482,441.714
1-03-28,384,438
1-03-29,441,451.571
1-03-30,506,463.143
1-03-31,551,480.429
1-04-01,555,489.143
1-04-02,542,494.429
1-04-03,543,503.143
1-04-04,473,515.857
1-04-05,478,521.143
1-04-06,668,544.286
1-04-07,700,565.571
1-04-08,671,582.143
1-04-09,676,601.286
1-04-10,614,611.429
1-04-11,587,627.714
1-04-12,542,636.857
1-04-13,731,645.857
1-04-14,698,645.571
1-04-15,672,645.714
1-04-16,655,642.714
1-04-17,671,650.857
1-04-18,531,642.857
1-04-19,549,643.857
1-04-20,731,643.857
1-04-21,735,649.143
1-04-22,797,667
1-04-23,785,685.571
1-04-24,644,681.714
1-04-25,500,677.286
1-04-26,511,671.857
1-04-27,775,678.143
1-04-28,678,670
1-04-29,656,649.857
1-04-30,627,627.286
1-05-01,606,621.857
1-05-02,488,620.143
1-05-03,541,624.429
1-05-04,676,610.286
1-05-05,574,595.429
1-05-06,525,576.714
1-05-07,701,587.286
1-05-08,564,581.286
1-05-09,463,577.714
1-05-10,511,573.429
1-05-11,635,567.571
1-05-12,715,587.714
1-05-13,747,619.429
1-05-14,681,616.571
1-05-15,610,623.143
1-05-16,619,645.429
1-05-17,528,647.857
1-05-18,653,650.429
1-05-19,646,640.571
1-05-20,561,614
1-05-21,666,611.857
1-05-22,585,608.286
1-05-23,538,596.714
1-05-24,516,595
1-05-25,699,601.571
1-05-26,629,599.143
1-05-27,587,602.857
1-05-28,533,583.857
1-05-29,479,568.714
1-05-30,430,553.286
1-05-31,459,545.143
